	PatID	Archaea
SRR5971069	ST13	0
SRR5971070	ST29	0
SRR5971071	ST03	0
SRR5971072	ST28	1
SRR5971073	ST23	0
SRR5971075	ST27	0
SRR5971076	ST01	1
SRR5971077	ST09	0
SRR5971078	ST18	0
SRR5971079	ST23	0
SRR5971080	ST26	0
SRR5971081	ST03	0
SRR5971082	ST08	0
SRR5971083	ST13	0
SRR5971084	ST23	0
SRR5971086	ST18	0
SRR5971087	ST17	0
SRR5971088	ST30	0
SRR5971089	ST16	0
SRR5971090	ST05	1
SRR5971091	SP03	0
SRR5971092	ST22	0
SRR5971093	ST09	0
SRR5971094	ST09	0
SRR5971095	ST04	0
SRR5971097	ST04	0
SRR5971098	ST16	0
SRR5971099	ST11	0
SRR5971100	ST04	1
SRR5971101	ST09	0
SRR5971102	ST16	0
SRR5971103	ST07	0
SRR5971104	ST16	0
SRR5971105	ST29	0
SRR5971106	ST12	1
SRR5971107	ST03	0
SRR5971109	ST04	0
SRR5971110	ST07	0
SRR5971111	ST11	0
SRR5971112	ST08	0
SRR5971113	SP03	0
SRR5971114	ST26	0
SRR5971115	ST08	1
SRR5971116	ST27	1
SRR5971117	ST25	0
SRR5971118	ST05	0
SRR5971119	ST18	0
SRR5971120	ST17	1
SRR5971121	ST21	0
SRR5971122	ST17	0
SRR5971123	ST18	0
SRR5971124	ST09	0
SRR5971125	ST02	0
SRR5971126	ST21	0
SRR5971127	ST19	0
SRR5971128	ST16	1
SRR5971129	ST19	1
SRR5971130	ST29	0
SRR5971131	ST05	0
SRR5971132	ST19	0
SRR5971133	ST21	0
SRR5971134	ST09	0
SRR5971135	ST30	0
SRR5971136	ST04	0
SRR5971137	SP08	0
SRR5971138	ST21	0
SRR5971139	ST23	0
SRR5971140	ST08	0
SRR5971141	ST04	0
SRR5971142	ST08	0
SRR5971143	ST08	0
SRR5971144	ST01	0
SRR5971145	ST18	0
SRR5971146	ST11	0
SRR5971147	ST30	0
SRR5971148	ST26	0
SRR5971149	ST03	0
SRR5971150	ST30	0
SRR5971151	ST24	1
SRR5971152	ST16	0
SRR5971153	ST17	0
SRR5971154	ST22	0
SRR5971155	ST17	0
SRR5971156	ST07	0
SRR5971157	ST05	0
SRR5971158	ST18	0
SRR5971159	ST18	0
SRR5971160	ST16	0
SRR5971162	ST08	0
SRR5971163	ST01	0
SRR5971164	ST15	0
SRR5971165	ST20	1
SRR5971166	ST30	0
SRR5971167	ST04	1
SRR5971168	ST21	0
SRR5971169	ST25	0
SRR5971170	ST13	0
SRR5971171	ST11	0
SRR5971173	ST25	0
SRR5971174	ST07	0
SRR5971175	ST24	0
SRR5971176	ST04	0
SRR5971177	ST13	0
SRR5971178	ST09	0
SRR5971179	ST18	0
SRR5971180	ST26	0
SRR5971181	ST29	0
SRR5971182	ST30	0
SRR5971184	ST15	0
SRR5971185	ST19	0
SRR5971186	ST01	0
SRR5971187	ST07	0
SRR5971188	ST23	0
SRR5971189	ST11	0
SRR5971190	ST11	0
SRR5971191	ST03	0
SRR5971192	ST22	0
SRR5971193	ST17	0
SRR5971195	ST22	0
SRR5971196	ST08	0
SRR5971197	ST22	0
SRR5971198	ST23	0
SRR5971199	ST29	0
SRR5971200	ST27	0
SRR5971201	ST12	0
SRR5971202	ST13	0
SRR5971203	ST17	0
SRR5971204	ST13	0
SRR5971205	ST16	0
SRR5971206	ST05	0
SRR5971207	ST27	0
SRR5971208	ST03	0
SRR5971209	ST09	0
SRR5971210	ST22	0
SRR5971211	ST29	0
SRR5971212	ST16	0
SRR5971213	ST13	0
SRR5971214	ST30	0
SRR5971215	ST11	0
SRR5971216	ST23	0
SRR5971217	ST26	0
SRR5971218	ST18	0
SRR5971219	ST11	0
SRR5971220	ST26	0
SRR5971221	ST04	0
SRR5971222	SP03	0
